,importance
ch_roa,0.0061023817
dpi,0.006581463
dch_wc,0.006994907
dch_rec,0.0076954174
bm,0.007723084
che,0.008051866
ch_cm,0.008118229
ch_rsst,0.00822509
dch_inv,0.008631662
txp,0.0091381315
dltt,0.009485061
reoa,0.009859372
invt,0.009994348
dltis,0.010521612
xint,0.010612057
ap,0.0108898785
ch_fcf,0.01101151
csho,0.011031912
ch_cs,0.011875793
cogs,0.01227985
re,0.012530554
EBIT,0.014336557
prcc_f,0.015682694
lt,0.016154965
dp,0.018332405
ivst,0.019044613
dlc,0.020888608
ib,0.022077829
soft_assets,0.022280818
ppegt,0.022796597
pstk,0.022916919
lct,0.023093754
txt,0.031449042
ceq,0.03267989
at,0.03272013
rect,0.035993457
ivao,0.03760417
sale,0.039002538
sstk,0.04631617
ni,0.052098375
act,0.087313905
issue,0.18986233
