fyear,fraud,total,rate
1990,15,4582,0.003273679615888258
1991,27,4713,0.005728835136855506
1992,26,4970,0.005231388329979879
1993,30,5377,0.0055793193230425885
1994,23,5684,0.004046446164672765
1995,22,6230,0.003531300160513644
1996,33,6745,0.004892512972572276
1997,42,6789,0.0061864781263809105
1998,56,6716,0.008338296605122097
1999,73,6828,0.010691271236086701
2000,86,6752,0.01273696682464455
2001,81,6362,0.012731845331656711
2002,77,6067,0.01269161035107961
2003,69,5981,0.011536532352449422
2004,58,5934,0.00977418267610381
2005,45,5863,0.007675251577690602
2006,33,5908,0.005585646580907245
2007,30,5868,0.005112474437627812
2008,26,5612,0.004632929436920884
2009,31,5367,0.00577603875535681
2010,26,5389,0.004824642790870292
2011,21,5404,0.0038860103626943004
2012,19,5630,0.003374777975133215
2013,11,5647,0.0019479369576766426
2014,4,5627,0.0007108583614714769
