feature,ksStat,pValue
dch_rec,0.06770833333333333,0.058233642642931724
sstk,0.0685763888888889,0.053161343955319885
ch_rsst,0.07465277777777778,0.027189509206043863
ch_cs,0.07899305555555555,0.01626465234636979
prcc_f,0.08159722222222222,0.011783756333502848
ch_fcf,0.08680555555555555,0.005993797373564312
invt,0.09375,0.0022798390548928005
ch_cm,0.0954861111111111,0.0017696478394991096
bm,0.09635416666666667,0.0015563867644038598
dp,0.0998263888888889,0.0009203799704726965
dltt,0.1015625,0.0007028244373102183
dch_wc,0.1032986111111111,0.0005341896641861268
ch_roa,0.10503472222222222,0.0004041218043135977
dltis,0.11371527777777778,9.334509145534363e-05
soft_assets,0.11458333333333333,8.010335762488858e-05
re,0.1189236111111111,3.662736859761299e-05
dpi,0.12239583333333333,1.9175811564636198e-05
ppegt,0.12586805555555555,9.852299246392073e-06
lt,0.1267361111111111,8.316814885331825e-06
che,0.1310763888888889,3.5025892480839195e-06
csho,0.1328125,2.458005276346992e-06
dlc,0.1328125,2.458005276346992e-06
reoa,0.13368055555555555,2.0554746904776977e-06
ap,0.14149305555555555,3.897884246249267e-07
sale,0.1449652777777778,1.8053906616313222e-07
xint,0.1467013888888889,1.2200053161856e-07
ni,0.1501736111111111,5.49257609445924e-08
lct,0.1501736111111111,5.49257609445924e-08
txp,0.15538194444444445,1.601267520821448e-08
rect,0.15711805555555555,1.0517347239017258e-08
ib,0.15885416666666666,6.875217123090794e-09
cogs,0.16145833333333334,3.6015348976438012e-09
EBIT,0.16319444444444445,2.3265224754692954e-09
act,0.16319444444444445,2.3265224754692954e-09
dch_inv,0.16493055555555555,1.495755083954431e-09
at,0.17447916666666666,1.2097892601804186e-10
txt,0.1814236111111111,1.7742262444362713e-11
ceq,0.1953125,3.031513476863668e-13
ivst,0.2378472222222222,1.708633648612643e-19
pstk,0.3272569444444444,7.57903797737369e-37
ivao,0.4253472222222222,8.181332699110859e-63
issue,0.4774305555555556,9.147075963578735e-80
