,missingRate
ch_cm,0.1171351295833476
ch_cs,0.10899380327981102
ch_roa,0.08680886028278956
dpi,0.06318600431373891
ch_fcf,0.03702283542743675
ch_rsst,0.033215789653873805
dch_wc,0.03258584682803246
dch_rec,0.03247629155397309
dch_inv,0.03159984936149817
soft_assets,0.0040535451401965145
reoa,0.004046697935567805
EBIT,0.004046697935567805
bm,0.0001232496833167859
ap,0.0
issue,0.0
prcc_f,0.0
xint,0.0
txt,0.0
txp,0.0
sstk,0.0
sale,0.0
act,0.0
re,0.0
pstk,0.0
at,0.0
ceq,0.0
che,0.0
cogs,0.0
csho,0.0
dlc,0.0
dltis,0.0
dltt,0.0
dp,0.0
ib,0.0
invt,0.0
ivao,0.0
ivst,0.0
lct,0.0
lt,0.0
ni,0.0
ppegt,0.0
rect,0.0
