phase,scenario,model,seed,rocAuc,prAuc,ndcg@1,sens@1,ndcg@2,sens@2,ndcg@5,sens@5,ndcg@10,sens@10
test,baseline,LR,42,0.676006471764621,0.008601689281071264,0.009243533578684395,0.011235955056179775,0.009243533578684395,0.011235955056179775,0.036669925494359906,0.06741573033707865,0.07781159752045244,0.15730337078651685
test,baseline,XGB,42,0.6481747662234162,0.00813796563568614,0.01079590748345143,0.011235955056179775,0.017416447066495998,0.02247191011235955,0.039848748522272735,0.06741573033707865,0.07534737296024516,0.14606741573033707
test,ctganAugB,LR,42,0.6608799235651083,0.009649484366759671,0.013284159796280422,0.011235955056179775,0.03302652919746156,0.0449438202247191,0.06680169911354732,0.11235955056179775,0.10225382979774805,0.19101123595505617
test,ctganAugB,XGB,42,0.6823275489717857,0.009146469009469506,0.0,0.0,0.006243292400220428,0.011235955056179775,0.05707639086862185,0.11235955056179775,0.11194720552115493,0.23595505617977527
test,baseline,LR,7,0.676006471764621,0.008601689281071264,0.009243533578684395,0.011235955056179775,0.009243533578684395,0.011235955056179775,0.036669925494359906,0.06741573033707865,0.07781159752045244,0.15730337078651685
test,baseline,XGB,7,0.6481747662234162,0.00813796563568614,0.01079590748345143,0.011235955056179775,0.017416447066495998,0.02247191011235955,0.039848748522272735,0.06741573033707865,0.07534737296024516,0.14606741573033707
test,ctganAugB,LR,7,0.6608799235651083,0.009649484366759671,0.013284159796280422,0.011235955056179775,0.03302652919746156,0.0449438202247191,0.06680169911354732,0.11235955056179775,0.10225382979774805,0.19101123595505617
test,ctganAugB,XGB,7,0.6823275489717857,0.009146469009469506,0.0,0.0,0.006243292400220428,0.011235955056179775,0.05707639086862185,0.11235955056179775,0.11194720552115493,0.23595505617977527
test,baseline,LR,123,0.676006471764621,0.008601689281071264,0.009243533578684395,0.011235955056179775,0.009243533578684395,0.011235955056179775,0.036669925494359906,0.06741573033707865,0.07781159752045244,0.15730337078651685
test,baseline,XGB,123,0.6481747662234162,0.00813796563568614,0.01079590748345143,0.011235955056179775,0.017416447066495998,0.02247191011235955,0.039848748522272735,0.06741573033707865,0.07534737296024516,0.14606741573033707
test,ctganAugB,LR,123,0.6608799235651083,0.009649484366759671,0.013284159796280422,0.011235955056179775,0.03302652919746156,0.0449438202247191,0.06680169911354732,0.11235955056179775,0.10225382979774805,0.19101123595505617
test,ctganAugB,XGB,123,0.6823275489717857,0.009146469009469506,0.0,0.0,0.006243292400220428,0.011235955056179775,0.05707639086862185,0.11235955056179775,0.11194720552115493,0.23595505617977527
